Subject,Subject.readInstructions,Subject.gender,Subject.age,Subject.ethnicity,Subject.education,Subject.nativelang,Subject.languages,Subject.location,Condition,Talker,Lure,Recalled,PropListRecalled,PropCorrectRecalls,RecalledLure,FalseRecall
R_2OSZOphr8GK9Xc7,Yes,Female,34,Asian,graduated college,English,N/A,Tallahassee  Florida,4,deshaun,doctor,nurse health lawyer stethoscope surgeon clinic,0.428571428571,1.0,False,
R_2OSZOphr8GK9Xc7,Yes,Female,34,Asian,graduated college,English,N/A,Tallahassee  Florida,4,conner,cold,wet cold hot snow shiver arctic,0.357142857143,0.833333333333,True,cold
R_2OSZOphr8GK9Xc7,Yes,Female,34,Asian,graduated college,English,N/A,Tallahassee  Florida,4,conner,trash,garbage junk rubbish pile landfill bag,0.428571428571,1.0,False,
R_3e48sw5mHZ2eYRt,Yes,Female,35,White,graduated high school,english,english,York  PA,4,deshaun,law,rules justice legislation amendment court,0.357142857143,1.0,False,
R_3e48sw5mHZ2eYRt,Yes,Female,35,White,graduated high school,english,english,York  PA,4,conner,gang,blood gang members street life bandana crips,0.428571428571,0.857142857143,True,gang
R_3e48sw5mHZ2eYRt,Yes,Female,35,White,graduated high school,english,english,York  PA,4,conner,jail,prisoner free convict life bars,0.357142857143,1.0,False,
R_3e48sw5mHZ2eYRt,Yes,Female,35,White,graduated high school,english,english,York  PA,4,deshaun,needle,pin hurt syringe prick injection cloth,0.428571428571,1.0,False,
R_3e48sw5mHZ2eYRt,Yes,Female,35,White,graduated high school,english,english,York  PA,4,deshaun,soft,down fluffy furry pillow light cotton soft,0.357142857143,0.714285714286,True,down soft
R_3e48sw5mHZ2eYRt,Yes,Female,35,White,graduated high school,english,english,York  PA,4,conner,cold,snow freeze frigid shiver arctic,0.357142857143,1.0,False,
R_3e48sw5mHZ2eYRt,Yes,Female,35,White,graduated high school,english,english,York  PA,4,conner,trash,garbage dump pile bag,0.285714285714,1.0,False,
